,EVI
2/29/2000,0.362193386
3/31/2000,0.373736586
4/30/2000,0.381332128
5/31/2000,0.308847719
6/30/2000,0.257063166
7/31/2000,0.20933342
8/31/2000,0.185544045
9/30/2000,0.162713991
10/31/2000,0.176723873
11/30/2000,0.245090899
12/31/2000,0.341637963
1/31/2001,0.340935336
2/28/2001,0.357813819
3/31/2001,0.358828373
4/30/2001,0.380067616
5/31/2001,0.308035048
6/30/2001,0.240104179
7/31/2001,0.216870164
8/31/2001,0.181480824
9/30/2001,0.173816044
10/31/2001,0.19445382
11/30/2001,0.200841082
12/31/2001,0.255843301
1/31/2002,0.341474237
2/28/2002,0.401370677
3/31/2002,0.389503712
4/30/2002,0.367816436
5/31/2002,0.320851377
6/30/2002,0.26764767
7/31/2002,0.222949832
8/31/2002,0.195333127
9/30/2002,0.172888525
10/31/2002,0.176756836
11/30/2002,0.21120629
12/31/2002,0.260445342
1/31/2003,0.353358674
2/28/2003,0.408579071
3/31/2003,0.378915734
4/30/2003,0.397172017
5/31/2003,0.325564322
6/30/2003,0.261368662
7/31/2003,0.233230546
8/31/2003,0.195158248
9/30/2003,0.174086538
10/31/2003,0.165296509
11/30/2003,0.182191719
12/31/2003,0.271040159
1/31/2004,0.314269468
2/29/2004,0.41858125
3/31/2004,0.404908541
4/30/2004,0.379764314
5/31/2004,0.329158422
6/30/2004,0.2741613
7/31/2004,0.224651634
8/31/2004,0.185831353
9/30/2004,0.173191814
10/31/2004,0.19240261
11/30/2004,0.201830591
12/31/2004,0.285675584
1/31/2005,0.332139432
2/28/2005,0.404205852
3/31/2005,0.402096077
4/30/2005,0.33939593
5/31/2005,0.278735364
6/30/2005,0.234840141
7/31/2005,0.196415512
8/31/2005,0.169790001
9/30/2005,0.161196932
10/31/2005,0.16090921
11/30/2005,0.175183577
12/31/2005,0.259837186
1/31/2006,0.354097241
2/28/2006,0.387562741
3/31/2006,0.40224055
4/30/2006,0.392295052
5/31/2006,0.316212794
6/30/2006,0.273128611
7/31/2006,0.219024529
8/31/2006,0.197341261
9/30/2006,0.170881672
10/31/2006,0.177666311
11/30/2006,0.196179952
12/31/2006,0.28278774
1/31/2007,0.348362631
2/28/2007,0.414388914
3/31/2007,0.403338437
4/30/2007,0.37858127
5/31/2007,0.309730401
6/30/2007,0.256003315
7/31/2007,0.208143466
8/31/2007,0.177588202
9/30/2007,0.179400144
10/31/2007,0.181585119
11/30/2007,0.228985936
12/31/2007,0.275714474
1/31/2008,0.30242659
2/29/2008,0.398454557
3/31/2008,0.402125479
4/30/2008,0.360993702
5/31/2008,0.298872039
6/30/2008,0.247307417
7/31/2008,0.208004928
8/31/2008,0.180946944
9/30/2008,0.168378652
10/31/2008,0.178644393
11/30/2008,0.18810946
12/31/2008,0.264906209
1/31/2009,0.370058654
2/28/2009,0.394179551
3/31/2009,0.385450102
4/30/2009,0.391873321
5/31/2009,0.318465308
6/30/2009,0.266989105
7/31/2009,0.216556308
8/31/2009,0.188015835
9/30/2009,0.169806565
10/31/2009,0.169292875
11/30/2009,0.211458494
1/31/2010,0.369322578
2/28/2010,0.317638762
3/31/2010,0.393021689
4/30/2010,0.384841461
5/31/2010,0.327115847
6/30/2010,0.265255047
7/31/2010,0.227666448
8/31/2010,0.192428005
9/30/2010,0.171285931
10/31/2010,0.169468264
11/30/2010,0.185626918
12/31/2010,0.30906071
1/31/2011,0.352388861
2/28/2011,0.363955412
3/31/2011,0.390494604
4/30/2011,0.388261376
5/31/2011,0.323402834
6/30/2011,0.257879993
7/31/2011,0.200221681
8/31/2011,0.178377517
9/30/2011,0.165832077
10/31/2011,0.180604833
11/30/2011,0.213138787
12/31/2011,0.289186234
1/31/2012,0.348906241
2/29/2012,0.397216928
3/31/2012,0.394944718
4/30/2012,0.393190187
5/31/2012,0.314672322
6/30/2012,0.255491835
7/31/2012,0.215258741
8/31/2012,0.189383458
9/30/2012,0.165417365
10/31/2012,0.18076923
11/30/2012,0.212511564
12/31/2012,0.245445851
1/31/2013,0.342498588
2/28/2013,0.411259799
3/31/2013,0.41535686
4/30/2013,0.365752149
5/31/2013,0.307562464
6/30/2013,0.25325172
7/31/2013,0.205194374
8/31/2013,0.179441705
9/30/2013,0.165543616
10/31/2013,0.180510472
11/30/2013,0.184164133
12/31/2013,0.244606792
1/31/2014,0.312842504
2/28/2014,0.382655094
3/31/2014,0.394991222
4/30/2014,0.356918954
5/31/2014,0.317301207
6/30/2014,0.254011891
7/31/2014,0.217591592
8/31/2014,0.179654998
9/30/2014,0.169021755
10/31/2014,0.160077264
11/30/2014,0.191024738
12/31/2014,0.209247506
1/31/2015,0.256214078
2/28/2015,0.355604027
3/31/2015,0.416549371
4/30/2015,0.3826549
5/31/2015,0.313682764
6/30/2015,0.254120829
7/31/2015,0.212585177
8/31/2015,0.181195938
9/30/2015,0.160888377
10/31/2015,0.161103207
11/30/2015,0.186096603
12/31/2015,0.254354606
1/31/2016,0.302742995
2/29/2016,0.349966768
3/31/2016,0.409279726
4/30/2016,0.358336344
5/31/2016,0.304365483
6/30/2016,0.249482483
7/31/2016,0.203777501
8/31/2016,0.175683356
9/30/2016,0.153950145
10/31/2016,0.152031302
11/30/2016,0.182113786
12/31/2016,0.240042972
1/31/2017,0.344583938
2/28/2017,0.37777936
3/31/2017,0.377340017
4/30/2017,0.372009117
5/31/2017,0.333008806
6/30/2017,0.2625822
7/31/2017,0.216512997
8/31/2017,0.19250279
9/30/2017,0.160861195
10/31/2017,0.175976439
11/30/2017,0.180006946
12/31/2017,0.316989497
1/31/2018,0.370589453
2/28/2018,0.353789001
3/31/2018,0.39761548
4/30/2018,0.360795092
5/31/2018,0.316238912
6/30/2018,0.23910013
7/31/2018,0.204279473
8/31/2018,0.179829339
9/30/2018,0.169168178
10/31/2018,0.150367436
11/30/2018,0.173515103
12/31/2018,0.248693839
1/31/2019,0.331322523
2/28/2019,0.409433805
3/31/2019,0.393438934
4/30/2019,0.355396009
5/31/2019,0.303509953
6/30/2019,0.234646313
7/31/2019,0.198619461
8/31/2019,0.179598381
9/30/2019,0.161423591
10/31/2019,0.175214285
11/30/2019,0.173458422
12/31/2019,0.256476968
1/31/2020,0.350221331
2/29/2020,0.358736963
3/31/2020,0.380270269
4/30/2020,0.327825318
5/31/2020,0.275504618
6/30/2020,0.223855714
7/31/2020,0.188932232
8/31/2020,0.179739492
9/30/2020,0.159068379
10/31/2020,0.169784198
11/30/2020,0.181997068
12/31/2020,0.230757735
1/31/2021,0.358240198
2/28/2021,0.359893674
3/31/2021,0.377647378
4/30/2021,0.362514531
5/31/2021,0.326664666
6/30/2021,0.26756672
7/31/2021,0.226246349
8/31/2021,0.199836389
9/30/2021,0.168566495
10/31/2021,0.182331327
11/30/2021,0.189273732
12/31/2021,0.216291927
