,EVI
2/29/2000,0.132168015
3/31/2000,0.119519189
4/30/2000,0.115531057
5/31/2000,0.112757262
6/30/2000,0.103207205
7/31/2000,0.098179981
8/31/2000,0.094465063
9/30/2000,0.093295257
10/31/2000,0.094338507
11/30/2000,0.099847513
12/31/2000,0.114844371
1/31/2001,0.130614917
2/28/2001,0.148287807
3/31/2001,0.149150018
4/30/2001,0.128340355
5/31/2001,0.112146621
6/30/2001,0.102417238
7/31/2001,0.096461383
8/31/2001,0.096081394
9/30/2001,0.094439163
10/31/2001,0.093448859
11/30/2001,0.094145573
12/31/2001,0.096560274
1/31/2002,0.116275516
2/28/2002,0.126662199
3/31/2002,0.137406981
4/30/2002,0.141663422
5/31/2002,0.123091587
6/30/2002,0.108986326
7/31/2002,0.101682783
8/31/2002,0.100193146
9/30/2002,0.097216672
10/31/2002,0.099593689
11/30/2002,0.103800658
12/31/2002,0.126723698
1/31/2003,0.147016136
2/28/2003,0.15850742
3/31/2003,0.167572249
4/30/2003,0.15112369
5/31/2003,0.127637705
6/30/2003,0.110944674
7/31/2003,0.103161256
8/31/2003,0.102838672
9/30/2003,0.098185875
10/31/2003,0.098613745
11/30/2003,0.10837739
12/31/2003,0.133564429
1/31/2004,0.148976474
2/29/2004,0.157247974
3/31/2004,0.165634454
4/30/2004,0.155269712
5/31/2004,0.137133969
6/30/2004,0.1184745
7/31/2004,0.108997291
8/31/2004,0.104790873
9/30/2004,0.102206725
10/31/2004,0.102629113
11/30/2004,0.107181468
12/31/2004,0.121522754
1/31/2005,0.128613696
2/28/2005,0.131216359
3/31/2005,0.144140192
4/30/2005,0.128289955
5/31/2005,0.113355863
6/30/2005,0.105159816
7/31/2005,0.099997377
8/31/2005,0.097399651
9/30/2005,0.095371679
10/31/2005,0.097338407
11/30/2005,0.099440022
12/31/2005,0.116275176
1/31/2006,0.129218421
2/28/2006,0.168172899
3/31/2006,0.179503625
4/30/2006,0.15777181
5/31/2006,0.127104274
6/30/2006,0.115769976
7/31/2006,0.107079574
8/31/2006,0.1030295
9/30/2006,0.101512449
10/31/2006,0.098031943
11/30/2006,0.102098807
12/31/2006,0.110986935
1/31/2007,0.115657385
2/28/2007,0.131598183
3/31/2007,0.133284759
4/30/2007,0.137843453
5/31/2007,0.127863057
6/30/2007,0.111987498
7/31/2007,0.102001848
8/31/2007,0.102343412
9/30/2007,0.099571318
10/31/2007,0.098329973
11/30/2007,0.098371601
12/31/2007,0.113397909
1/31/2008,0.133085973
2/29/2008,0.152711687
3/31/2008,0.151040229
4/30/2008,0.13218652
5/31/2008,0.114823729
6/30/2008,0.107233398
7/31/2008,0.099487498
8/31/2008,0.097308246
9/30/2008,0.099186273
