Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,924.9946225,941.783828,938.845615,887.7626171,883.7677059,901.4274937,1136.132897,914.781971,952.2831518,974.1335744,1104.523731,1163.382695,980.2131114,1240.161362,1217.270792,1212.416463,1306.317068,1286.294959,1250.558882,1349.931415,1561.446543,1301.114058,1111.579855,1080.329645,1280.685536,1262.148846,1235.795634,1325.212725,1463.806204,1357.14527,1355.465715,983.7606843,1427.680721,1374.703425,1186.383692,1445.1823,1341.024131,1318.214373,1376.841687,1459.730401,1442.785375,1453.330971,1296.012209,1393.986064,1397.303402,1458.672473,1482.146197,1552.73996,1646.198331,1818.83843,1775.109257,1663.9937,1545.1673,1667.404299,1658.181339,1498.7147,1728.81867,1622.882922,,,
Afghanistan,AFG,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,1115.1,1079,985.8,1082.8,1098.9,1012.3,1224.5,1287.5,1310.4,1105.1,976.2,1006.9,1279.6,1301.9,1316.4,1362.4,1224,1291.9,1323.7,1349,1338.3,1330.2,1355.6,1334.1,1331.7,1314,1359.8,1285.7,1237.6,1200.6,1160.4,1097.8,1132.9,1140.4,1214.5,1204.4,1348.8,1388,1285.7,806.3,1006.7,1669.8,1458,1334.8,1790.4,1551.7,1915.3,1455.4,2040.7,2011.1,1659.9,2029.6,2048.5,2017.5,2133.7,1981.9,2025.1,2164.9,,,
Africa Western and Central,AFW,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,675.3548155,702.2444559,698.0325257,691.1341873,658.3434424,643.8725076,684.3052508,666.7837728,654.6722975,691.0070343,692.2179577,639.2501163,643.4429618,829.8098271,818.8812042,691.3970613,744.4430957,777.074924,788.7698302,806.5183538,947.0383758,928.1387817,884.1689678,879.9716522,958.6947223,950.6567885,944.7141129,1005.191079,964.3806307,875.0109676,918.3485903,907.5454759,928.9948075,902.4609186,962.0495812,987.2440475,966.8490566,998.3679496,1032.232193,971.6265092,1001.99826,1011.113025,1075.369185,1089.556369,1143.37468,1180.559127,1107.140662,1231.758342,1192.05414,1186.055616,1063.085093,1189.745888,1114.155072,1194.152849,1239.639591,1241.197669,1206.811156,1276.100388,,,
Angola,AGO,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,828,830.3,798.4,875.8,932,824.3,814.6,805.7,898.9,911.3,805.7,780.3,764,712.6,773.9,775.5,603.1,667.1,509.2,617.9,451.1,450.6,484.6,466,449.1,379.8,381.2,332.4,277.4,320.9,417.5,397.1,268,298.4,401.5,653.1,567.4,701.6,620.4,564.4,585.4,627.2,646.1,491.7,583.4,445.9,464.3,652.7,571.4,629.3,662.4,552,814.4,888.2,982.5,779.9,754.7,753.3,,,
Albania,ALB,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,845.2,941.8,982.3,1023.3,1037.3,1318.6,1464.1,1553.7,1639.8,1646.1,1753.6,1768.7,1843,1934.5,2028.9,2445.1,2550.1,2620.2,2634.8,2364,2500.6,2715.2,3046,2966.3,2900.6,2990.3,2965.6,2875,2961.7,2794.4,2071.9,2158.6,2685,2460.9,2841.5,2450.9,2833.3,2872.1,2798.1,3175.1,3030.8,3291.9,3185.7,3466.3,3462.1,3602.6,3728.4,4081.2,4315.3,4761.8,4750.7,4883.8,4949.8,4892.6,4873.8,4716.4,4813,4840.5,,,
Andorra,AND,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,782.793101,1139.948023,1058.281005,998.2131503,1048.708825,914.7651049,1023.385671,1247.851533,1124.990415,1047.043289,1180.147517,1302.40136,988.4790929,1163.978494,1158.055752,1216.302211,969.8988877,1150.789589,1077.589824,1277.715315,1165.941554,1273.073032,1152.106438,1185.781421,1370.521936,1526.890668,1381.032765,1766.800123,1471.582674,1577.809041,1784.719586,1598.683673,1646.613124,1937.828734,1738.904863,2020.641227,1859.857182,1850.619669,1845.469655,1766.193891,2010.622771,2290.248602,2321.068742,2250.006954,2092.24616,2452.068802,2104.586792,2295.86895,2617.271051,2242.412748,2524.86915,2032.472838,1967.370696,1796.045339,2057.438839,1705.274933,1869.677439,2011.461649,,,
United Arab Emirates,ARE,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,,,,,,,,,,,,,,,,,1166.7,1466.7,2242.9,2409.6,2018.7,2000,1417.8,1613.4,1340.2,1185.7,1106.3,808.3,1924.7,2216.5,3494.1,4368.3,4164.7,6414.5,6474,6502.1,15894,17746.3,17165.8,17504.7,17476.9,18064.6,20927.8,20373.6,20215.2,20900.8,21428.6,22265.9,24716.6,18069.8,24064.3,12112.2,36761.9,13785.4,32028.7,31538.2,30235,27582.1,,,
Argentina,ARG,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,1410.7,1604.9,1511.2,1695.4,1403.2,1557,1606.4,1313.3,1554.7,1775.3,1783.5,1609.5,2041.4,2046.2,1955.9,1907.2,2134.9,2424.3,2252.2,1874.1,2425,2442.8,2330.1,2581.5,2439.5,2582.2,2382.6,2527.9,2129.4,2250.8,2426.2,2955.5,3054.1,2769.5,2904.2,2712.8,3013.7,3818.9,3314.4,3472.5,3396,3282.3,3318.8,3649.7,4110.7,3718,4274.7,4102.1,3267.3,4848.6,4612.1,4146.2,4796.8,4836.8,4779.3,5203.8,5404.9,4671.4,,,
