Coutry,Year,Cereal Yield,Wheat Yield,Maize Yield,Rice Yield
Ethiopia,2009,1.68,1.83,2.2,1.68
Ethiopia,2010,1.83,1.84,2.54,1.83
Ethiopia,2011,1.96,2.03,2.95,1.96
Ethiopia,2012,2.05,2.11,3.06,2.04
Ethiopia,2013,2.19,2.44,3.25,2.19
Ethiopia,2014,2.33,2.54,3.42,2.32
Ethiopia,2015,2.56,2.79,3.73,2.55
Ethiopia,2016,2.48,2.68,3.67,2.48
Ethiopia,2017,2.51,2.82,3.74,2.51
Ethiopia,2018,2.39,2.42,3.29,2.39
Kenya,2009,1.24,1.67,1.29,1.24
Kenya,2010,1.71,3.2,1.73,1.7
Kenya,2011,1.51,2.04,1.58,1.5
Kenya,2012,1.74,2.97,1.74,1.73
Kenya,2013,1.66,2.76,1.69,1.65
Kenya,2014,1.58,1.55,1.66,1.57
Kenya,2015,1.77,1.98,1.82,1.76
Kenya,2016,1.38,1.4,1.43,1.37
Kenya,2017,1.63,1.13,1.76,1.62
Kenya,2018,1.81,2.53,1.87,1.8
Malawi,2009,2.12,1.5,2.23,2.1
Malawi,2010,1.91,1.51,2.02,1.89
Malawi,2011,2.09,1.52,2.21,2.07
Malawi,2012,2.09,1.51,2.19,2.07
Malawi,2013,2.07,1.41,2.17,2.05
Malawi,2014,2.22,1.23,2.33,2.2
Malawi,2015,1.59,1.28,1.66,1.57
Malawi,2016,1.35,1.11,1.42,1.33
Malawi,2017,1.9,1.23,2.01,1.88
Malawi,2018,1.53,1.23,1.6,1.51
