Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Africa Eastern and Southern,1.4533309710000002,1.296012209,1.3939860640000001,1.397303402,1.458672473,1.482146197,1.5527399599999998,1.6461983310000001,1.81883843,1.775109257,1.6639937,1.5451673000000001,1.667404299,1.658181339,1.4987147,1.72881867,1.622882922
Afghanistan,1.6698,1.458,1.3348,1.7904,1.5517,1.9153,1.4554,2.0407,2.0111,1.6599000000000002,2.0296,2.0485,2.0175,2.1336999999999997,1.9819,2.0251,2.1649000000000003
Africa Western and Central,1.011113025,1.075369185,1.0895563689999999,1.1433746800000002,1.180559127,1.107140662,1.231758342,1.19205414,1.1860556160000002,1.063085093,1.1897458880000003,1.114155072,1.194152849,1.2396395910000002,1.241197669,1.2068111559999999,1.2761003880000001
Angola,0.6272000000000001,0.6461,0.49169999999999997,0.5834,0.44589999999999996,0.4643,0.6527000000000001,0.5714,0.6293,0.6624,0.552,0.8144,0.8882000000000001,0.9825,0.7798999999999999,0.7547,0.7533
Albania,3.2919,3.1856999999999998,3.4663000000000004,3.4621,3.6026,3.7284,4.0812,4.315300000000001,4.7618,4.7507,4.8838,4.9498,4.892600000000001,4.8738,4.716399999999999,4.813,4.8405
Arab World,2.290248602,2.3210687420000005,2.250006954,2.09224616,2.452068802,2.104586792,2.29586895,2.6172710510000003,2.242412748,2.52486915,2.032472838,1.9673706960000001,1.796045339,2.057438839,1.7052749329999999,1.869677439,2.0114616489999997
United Arab Emirates,18.0646,20.927799999999998,20.3736,20.2152,20.9008,21.4286,22.265900000000002,24.7166,18.0698,24.0643,12.112200000000001,36.761900000000004,13.7854,32.0287,31.5382,30.235,27.582099999999997
Argentina,3.2823,3.3188,3.6496999999999997,4.1107,3.718,4.2747,4.1021,3.2673,4.8486,4.612100000000001,4.146199999999999,4.7968,4.8368,4.7793,5.2038,5.4049,4.671399999999999
Armenia,2.2047,1.5671,2.2808,1.9387,1.3239,2.5926,2.405,2.2503,2.0682,2.789,2.6505,3.0725,3.1816,3.1321,3.0761,1.9750999999999999,2.6235999999999997
Antigua and Barbuda,1.5625,1.5714000000000001,1.5789000000000002,1.5974000000000002,1.625,1.6014000000000002,1.619,1.5902,1.5859,1.5974000000000002,1.5953,1.5931,1.5804,1.5811,1.5873,1.5856,1.5839
Australia,2.1975,1.0207,2.1164,1.6945999999999999,2.1117,0.9813,1.3327,1.6514000000000002,1.6615,2.0975,2.2316,1.9361,2.138,2.0274,2.0751999999999997,2.6743,2.0355
Austria,5.831,5.2554,6.4955,6.133100000000001,5.7218,5.8441,6.807300000000001,6.1495,5.9031,7.0567,6.0028999999999995,5.8468,7.0466999999999995,6.1981,7.2463999999999995,6.2606,6.16
